Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stupeň pôvodnosti;Stupeň spracovania;Technika;Vlastník;Výtvarný druh;Značenie;Žáner
"Galanda, Mikuláš";"1926 - 1946";"20. storočie, 1. polovica, 1936 okolo";"14.5.1968";;;;"K 5666";"75. NK";"Gregorová-Stachová, Lucia";"kartón";"výška 44.1 cm; šírka 31.8 cm";"14.5.1968";"Spiaca";"Spiaca";"SNG";"SVK:SNG.K_5666";"POZN: ";"7878";"kúpa";"originál";"DEF";"ceruza";"Slovenská národná galéria, SNG";"kresba, voľná";"vľavo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1923 - 1943";"20. storočie, 1. polovica, 1933 okolo";"17.9.1957";;;;"O 1461";"32. NK";"Bajcurová, Katarína";"lepenka; plátno";"výška 25.0 cm; šírka 19.7 cm";"17.9.1957";"Senníky";"Senníky | Hay Barns (Preklad názvu)";"SNG";"SVK:SNG.O_1461";"POZN: ";"1417";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"neoznačené";"dedinský motív"
"Galanda, Mikuláš";"1934";"20. storočie, 1. polovica, 1934";"5.7.1956";;;;"O 1060";"22. NK";"Bajcurová, Katarína";"preglejka";"výška 31.3 cm; šírka 25.8 cm";"5.7.1956";"Slepec";"Slepec | Blind Man (Preklad názvu)";"SNG";"SVK:SNG.O_1060";"POZN: Autorské značenie: vpravo dole vyrytím do čerstvejfarby: Galanda";"881/a";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1935";"20. storočie, 1. polovica, 1935";"27.6.1960";;;;"O 1709";"40. NK pre súčasné umenie";"Bajcurová, Katarína";"preglejka";"výška 31.0 cm; šírka 25.9 cm";;"Ráno";"Ráno | Morning  (Preklad názvu)";"SNG";"SVK:SNG.O_1709";"POZN: 

LIT:
Holé baby. Bratislava : Slovenská národná galéria, 2010, 7.";"1963";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda 1935; vpravo dole: G";"ženský akt"
"Galanda, Mikuláš";"1920 - 1930";"20. storočie, 1. polovica, 1920-1930";"31.10.1979";;;;"K 13094";"136. NK";"Gregorová-Stachová, Lucia";"kartón";"výška 14.7 cm; šírka 9.5 cm";"31.10.1979";"Tahiťanka";"Tahiťanka";"SNG";"SVK:SNG.K_13094";"POZN: ";"22079";"kúpa";"originál";"DEF";"tuš; akvarel";"Slovenská národná galéria, SNG";"kresba, voľná";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1930 - 1932";"";"13.1.1993";;;;"O 6660";"203. NK";"Bajcurová, Katarína";"preglejka";"výška 30.7 cm; šírka 25.0 cm";"13.1.1993";"Materstvo";"Materstvo | Motherhood (Preklad názvu)";"SNG";"SVK:SNG.O_6660";"POZN: ";"1/93";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1931";"20. storočie, 1. polovica, 1931";"10.6.1964";;;;"O 2612";"56. NK";"Bajcurová, Katarína";"plátno";"výška 60.3 cm; šírka 51.9 cm";"10.6.1964";"Dve ženy";"Dve ženy | Two Women (Preklad názvu)";"SNG";"SVK:SNG.O_2612";"POZN: ";"4557";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: G";"alegorická kompozícia | figurálna kompozícia"
"Galanda, Mikuláš";"1932";"20. storočie, 1. polovica, 1932";;;;;"O 1932";;"Bajcurová, Katarína";"plátno";"výška 60.2 cm; šírka 45.4 cm";"20.4.1961";"Rybárske člnky";"Rybárske člnky | Fishing Boats (Preklad názvu)";"SNG";"SVK:SNG.O_1932";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 271.";"2547";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda";"krajina"
"Galanda, Mikuláš";"1920 - 1929";"20. storočie, 1. polovica, 1920-1929";;;;;"O 5238";;"Bajcurová, Katarína";"plátno";"výška 45.0 cm; šírka 35.0 cm";"23.5.1975";"Milenci";"Milenci | Lovers (Preklad názvu)";"SNG";"SVK:SNG.O_5238";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 269.";"17530";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1936";"20. storočie, 1. polovica, 1936";;;;;"O 130";;"Bajcurová, Katarína";"preglejka";"výška 31.2 cm; šírka 26.0 cm";"28.3.1950";"Pred zrkadlom";"Pred zrkadlom | In front of the Mirror (Preklad názvu)";"SNG";"SVK:SNG.O_130";"POZN: ";"10";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: G červenou farbou";"ženský akt"
