Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stupeň pôvodnosti;Stupeň spracovania;Technika;Vlastník;Výtvarný druh;Značenie;Žáner
"Galanda, Mikuláš";"1936 - 1937";"20. storočie, 1. polovica, 1936-1937";"26.1.1968";;;;"O 3334";"73. NK";"Bajcurová, Katarína";"preglejka";"výška 34.9 cm; šírka 26.3 cm";"26.1.1968";"Sediaci model";"Sediaci model | Seated Model (Preklad názvu)";"SNG";"SVK:SNG.O_3334";"POZN: ";"7434";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda";"ženský akt"
"Galanda, Mikuláš";"1932";"20. storočie, 1. polovica, 1932";"22.11.1968";;;;"O 3464";"76. NK";"Bajcurová, Katarína";"plátno";"výška 39.8 cm; šírka 35.0 cm";"22.11.1968";"Zobliekajúca sa žena";"Zobliekajúca sa žena | Woman Undressing (Preklad názvu)";"SNG";"SVK:SNG.O_3464";"POZN: ";"8587";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"ženský akt"
"Galanda, Mikuláš";"1929 - 1930";"20. storočie, 1. polovica, 1929-1930";"7.12.1965";;;;"K 5542";"64. NK";"Gregorová-Stachová, Lucia";"papier";"výška 42.5 cm; šírka 35.5 cm";"7.12.1965";"Krajina so stoličkou";"Krajina so stoličkou";"SNG";"SVK:SNG.K_5542";"POZN: 9/tempera,koláž";"7328";"kúpa";"originál";"DEF";"pero; tuš; koláž; tempera";"Slovenská národná galéria, SNG";"kresba, voľná";"vľavo dole: Galanda";"krajina"
"Galanda, Mikuláš";"1930";"20. storočie, 1. polovica, 1930";;"Básne v kresbách";;;"K 2464";;"Gregorová-Stachová, Lucia";"papier";"výška 23.4 cm; šírka 45.2 cm";"6.3.1951";"Sopka";"Sopka | Volcano (Preklad názvu)";"SNG";"SVK:SNG.K_2464";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 269.";"1486/d/63";"prevod";"originál";"DEF";"pero; tuš";"Slovenská národná galéria, SNG";"kresba, voľná";"vpravo nad dolným okrajom: Galanda";"imaginatívna kompozícia"
"Galanda, Mikuláš";"1936";"20. storočie, 1. polovica, 1936";"30.12.1950";;;;"O 370";"1. NK";"Bajcurová, Katarína";"preglejka";"výška 31.3 cm; šírka 25.9 cm";"30.12.1950";"Po kúpeli";"Po kúpeli | After Bath (Preklad názvu)";"SNG";"SVK:SNG.O_370";"POZN: ";"1031";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: G";"ženský akt"
"Galanda, Mikuláš";"1924 - 1944";"20. storočie, 1. polovica, 1934 okolo";"13.4.1960";;;;"O 1683";"38. NK";"Bajcurová, Katarína";"preglejka";"výška 30.0 cm; šírka 25.0 cm";"13.4.1960";"Matka s dieťaťom";"Matka s dieťaťom | Mother with Child (Preklad názvu)";"SNG";"SVK:SNG.O_1683";;"1857";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"podpis, vpravo dole: vyškrabaním do mokrej  farby: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1926 - 1946";"20. storočie, 1. polovica, 1936 okolo";"5.12.1967";;;;"O 3274";"73. NK";"Bajcurová, Katarína";"preglejka";"výška 31.0 cm; šírka 25.1 cm";"5.12.1967";"Žena s krčahom";"Žena s krčahom | Woman with Jar (Preklad názvu)";"SNG";"SVK:SNG.O_3274";"POZN: 

LIT:
Holé baby. Bratislava : Slovenská národná galéria, 2010, 6.";"7310";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo hore: Galanda";"ženský akt"
"Galanda, Mikuláš";"1927";"20. storočie, 1. polovica, 1927";;;;;"K 24";;"Gregorová-Stachová, Lucia";"papier";"výška 45.6 cm; šírka 33.9 cm";"28.3.1950";"Harlekýn";"Harlekýn | Harlekýn s gitarou; Harlequin (Preklad názvu)";"SNG";"SVK:SNG.K_24";"POZN: ";"77";"prevod";"originál";"DEF";"ceruza";"Slovenská národná galéria, SNG";"kresba, voľná";"vpravo dole: M. Galanda 27";"figurálna kompozícia"
"Galanda, Mikuláš";"1932";"20. storočie, 1. polovica, 1932";"10.6.1964";;;;"O 2607";"56. NK";"Bajcurová, Katarína";"plátno; lepenka";"výška 24.8 cm; šírka 22.0 cm";"10.6.1964";"Hlava Pierota";"Hlava Pierota | Pierot's Head (Preklad názvu)";"SNG";"SVK:SNG.O_2607";"POZN: ";"4558";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: G";"portrét"
"Galanda, Mikuláš";"1930 - 1939";"20. storočie, 1. polovica, 1930-1939";"26.5.1966";;;;"O 2997";"66. NK";"Bajcurová, Katarína";"preglejka";"výška 31.4 cm; šírka 24.8 cm";"26.5.1966";"Umývajúca sa žena";"Umývajúca sa žena | Woman Washing Herself (Preklad názvu)";"SNG";"SVK:SNG.O_2997";"POZN: ";"6283";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"neoznačené";"ženský akt"
"Galanda, Mikuláš";"1924";"20. storočie, 1. polovica, 1924";;"Láska v meste";;;"G 2569";;"Gregorová-Stachová, Lucia";"papier, žltý";"výška 13.8 cm; šírka 9.9 cm";"6.3.1951";"Na ceste domov";"Na ceste domov | On the Way Home. From the Cycle Love in the City (Preklad názvu)";"SNG";"SVK:SNG.G_2569";"POZN: 2.názov:Na ceste domov /Apači/

LIT:
Slovenský obraz (anti-obraz) : 20.st. v slovenskom výtvarnom umení. Bratislava : SNG, 2008, 265.";"1486/d";"prevod";"originál";"DEF";"litografia";"Slovenská národná galéria, SNG";"grafika, voľná";"vpravo dole: Galanda";"figurálna kompozícia"
